,0,1,2
140,2016,TD Garden                         ,boston celtics
141,2017,TD Garden                         ,boston celtics
142,2018,TD Garden                         ,boston celtics
143,2004,Time Warner Cable Arena          ,charolette hornets
144,2005,Time Warner Cable Arena          ,charolette hornets
145,2006,Time Warner Cable Arena          ,charolette hornets
146,2007,Time Warner Cable Arena          ,charolette hornets
147,2008,Time Warner Cable Arena          ,charolette hornets
148,2009,Time Warner Cable Arena          ,charolette hornets
149,2010,Time Warner Cable Arena          ,charolette hornets
150,2011,Time Warner Cable Arena          ,charolette hornets
151,2012,Time Warner Cable Arena          ,charolette hornets
152,2013,Time Warner Cable Arena          ,charolette hornets
153,2014,Time Warner Cable Arena          ,charolette hornets
154,2015,Time Warner Cable Arena          ,charolette hornets
155,2016,Time Warner Cable Arena          ,charolette hornets
156,2017,Time Warner Cable Arena          ,charolette hornets
157,2018,Time Warner Cable Arena          ,charolette hornets
158,1966,Chicago Amphitheater             ,chicago bulls
159,1967,Chicago Stadium                  ,chicago bulls
160,1968,Chicago Stadium                  ,chicago bulls
161,1969,Chicago Stadium                  ,chicago bulls
162,1970,Chicago Stadium                  ,chicago bulls
163,1971,Chicago Stadium                  ,chicago bulls
164,1972,Chicago Stadium                  ,chicago bulls
165,1973,Chicago Stadium                  ,chicago bulls
166,1974,Chicago Stadium                  ,chicago bulls
167,1975,Chicago Stadium                  ,chicago bulls
168,1976,Chicago Stadium                  ,chicago bulls
169,1977,Chicago Stadium                  ,chicago bulls
170,1978,Chicago Stadium                  ,chicago bulls
171,1979,Chicago Stadium                  ,chicago bulls
172,1980,Chicago Stadium                  ,chicago bulls
173,1981,Chicago Stadium                  ,chicago bulls
174,1982,Chicago Stadium                  ,chicago bulls
175,1983,Chicago Stadium                  ,chicago bulls
176,1984,Chicago Stadium                  ,chicago bulls
177,1985,Chicago Stadium                  ,chicago bulls
178,1986,Chicago Stadium                  ,chicago bulls
179,1987,Chicago Stadium                  ,chicago bulls
180,1988,Chicago Stadium                  ,chicago bulls
181,1989,Chicago Stadium                  ,chicago bulls
182,1990,Chicago Stadium                  ,chicago bulls
183,1991,Chicago Stadium                  ,chicago bulls
184,1992,Chicago Stadium                  ,chicago bulls
185,1993,Chicago Stadium                  ,chicago bulls
186,1994,United Center                    ,chicago bulls
187,1995,United Center                    ,chicago bulls
188,1996,United Center                    ,chicago bulls
189,1997,United Center                    ,chicago bulls
190,1998,United Center                    ,chicago bulls
191,1999,United Center                    ,chicago bulls
192,2000,United Center                    ,chicago bulls
193,2001,United Center                    ,chicago bulls
194,2002,United Center                    ,chicago bulls
195,2003,United Center                    ,chicago bulls
196,2004,United Center                    ,chicago bulls
197,2005,United Center                    ,chicago bulls
198,2006,United Center                    ,chicago bulls
199,2007,United Center                    ,chicago bulls
200,2008,United Center                    ,chicago bulls
201,2009,United Center                    ,chicago bulls
202,2010,United Center                    ,chicago bulls
203,2011,United Center                    ,chicago bulls
204,2012,United Center                    ,chicago bulls
205,2013,United Center                    ,chicago bulls
206,2014,United Center                    ,chicago bulls
207,2015,United Center                    ,chicago bulls
208,2016,United Center                    ,chicago bulls
209,2017,United Center                    ,chicago bulls
210,2018,United Center                    ,chicago bulls
211,1970,Cleveland Arena                ,cleveland cavaliers
212,1971,Cleveland Arena                ,cleveland cavaliers
213,1972,Cleveland Arena                ,cleveland cavaliers
214,1973,Cleveland Arena                ,cleveland cavaliers
215,1974,The Coliseum                    ,cleveland cavaliers
216,1975,The Coliseum                    ,cleveland cavaliers
217,1976,The Coliseum                    ,cleveland cavaliers
218,1977,The Coliseum                    ,cleveland cavaliers
219,1978,The Coliseum                    ,cleveland cavaliers
220,1979,The Coliseum                    ,cleveland cavaliers
221,1980,The Coliseum                    ,cleveland cavaliers
222,1981,The Coliseum                    ,cleveland cavaliers
223,1982,The Coliseum                    ,cleveland cavaliers
224,1983,The Coliseum                    ,cleveland cavaliers
225,1984,The Coliseum                    ,cleveland cavaliers
226,1985,The Coliseum                    ,cleveland cavaliers
227,1986,The Coliseum                    ,cleveland cavaliers
228,1987,The Coliseum                    ,cleveland cavaliers
229,1988,The Coliseum                    ,cleveland cavaliers
230,1989,The Coliseum                    ,cleveland cavaliers
231,1990,The Coliseum                    ,cleveland cavaliers
232,1991,The Coliseum                    ,cleveland cavaliers
233,1992,The Coliseum                    ,cleveland cavaliers
234,1993,The Coliseum                    ,cleveland cavaliers
235,1994,Gund Arena                     ,cleveland cavaliers
236,1995,Gund Arena                     ,cleveland cavaliers
237,1996,Gund Arena                     ,cleveland cavaliers
238,1997,Gund Arena                     ,cleveland cavaliers
239,1998,Gund Arena                     ,cleveland cavaliers
240,1999,Gund Arena                     ,cleveland cavaliers
241,2000,Gund Arena                     ,cleveland cavaliers
