,0,1,2
600,1971,Memorial Auditorium              ,los angeles clippers
601,1972,Memorial Auditorium              ,los angeles clippers
602,1973,Memorial Auditorium              ,los angeles clippers
603,1974,Memorial Auditorium              ,los angeles clippers
604,1975,Memorial Auditorium              ,los angeles clippers
605,1976,Memorial Auditorium              ,los angeles clippers
606,1977,Memorial Auditorium              ,los angeles clippers
607,1978,San Diego Sports Arena  ,los angeles clippers
608,1979,San Diego Sports Arena  ,los angeles clippers
609,1980,San Diego Sports Arena  ,los angeles clippers
610,1981,San Diego Sports Arena  ,los angeles clippers
611,1982,San Diego Sports Arena  ,los angeles clippers
612,1983,San Diego Sports Arena  ,los angeles clippers
613,1985,Los Angeles Sports Arena  ,los angeles clippers
614,1986,Los Angeles Sports Arena  ,los angeles clippers
615,1987,Los Angeles Sports Arena  ,los angeles clippers
616,1988,Los Angeles Sports Arena  ,los angeles clippers
617,1989,Los Angeles Sports Arena  ,los angeles clippers
618,1990,Los Angeles Sports Arena  ,los angeles clippers
619,1991,Los Angeles Sports Arena  ,los angeles clippers
620,1992,Los Angeles Sports Arena  ,los angeles clippers
621,1993,Los Angeles Sports Arena  ,los angeles clippers
622,1994,Los Angeles Sports Arena ,los angeles clippers
623,1995,Los Angeles Sports Arena ,los angeles clippers
624,1996,Los Angeles Sports Arena ,los angeles clippers
625,1997,Los Angeles Sports Arena ,los angeles clippers
626,1998,Los Angeles Sports Arena ,los angeles clippers
627,1999,Staples Center   ,los angeles clippers
628,2000,Staples Center   ,los angeles clippers
629,2001,Staples Center   ,los angeles clippers
630,2002,Staples Center   ,los angeles clippers
631,2003,Staples Center   ,los angeles clippers
632,2004,Staples Center   ,los angeles clippers
633,2005,Staples Center   ,los angeles clippers
634,2006,Staples Center   ,los angeles clippers
635,2007,Staples Center   ,los angeles clippers
636,2008,Staples Center   ,los angeles clippers
637,2009,Staples Center   ,los angeles clippers
638,2010,Staples Center   ,los angeles clippers
639,2011,Staples Center   ,los angeles clippers
640,2012,Staples Center   ,los angeles clippers
641,2013,Staples Center   ,los angeles clippers
642,2014,Staples Center   ,los angeles clippers
643,2015,Staples Center   ,los angeles clippers
644,2016,Staples Center   ,los angeles clippers
645,2017,Staples Center   ,los angeles clippers
646,2018,Staples Center   ,los angeles clippers
647,1948,Minneapolis Auditorium        ,los angeles lakers
648,1949,Minneapolis Auditorium        ,los angeles lakers
649,1950,Minneapolis Auditorium        ,los angeles lakers
650,1951,Minneapolis Auditorium        ,los angeles lakers
651,1952,Minneapolis Auditorium        ,los angeles lakers
652,1953,Minneapolis Auditorium        ,los angeles lakers
653,1954,Minneapolis Auditorium        ,los angeles lakers
654,1955,Minneapolis Auditorium        ,los angeles lakers
655,1956,Minneapolis Auditorium        ,los angeles lakers
656,1957,Minneapolis Auditorium        ,los angeles lakers
657,1958,Minneapolis Auditorium        ,los angeles lakers
658,1959,Minneapolis Auditorium        ,los angeles lakers
659,1960,Los Angeles Sports Arena  ,los angeles lakers
660,1961,Los Angeles Sports Arena  ,los angeles lakers
661,1962,Los Angeles Sports Arena  ,los angeles lakers
662,1963,Los Angeles Sports Arena  ,los angeles lakers
663,1964,Los Angeles Sports Arena  ,los angeles lakers
664,1965,Los Angeles Sports Arena  ,los angeles lakers
665,1966,Los Angeles Sports Arena  ,los angeles lakers
666,1967,Great Western Forum             ,los angeles lakers
667,1968,Great Western Forum             ,los angeles lakers
668,1969,Great Western Forum             ,los angeles lakers
669,1970,Great Western Forum             ,los angeles lakers
670,1971,Great Western Forum             ,los angeles lakers
671,1972,Great Western Forum             ,los angeles lakers
672,1973,Great Western Forum             ,los angeles lakers
673,1974,Great Western Forum             ,los angeles lakers
674,1975,Great Western Forum             ,los angeles lakers
675,1976,Great Western Forum             ,los angeles lakers
676,1977,Great Western Forum             ,los angeles lakers
677,1978,Great Western Forum             ,los angeles lakers
678,1979,Great Western Forum             ,los angeles lakers
679,1980,Great Western Forum             ,los angeles lakers
680,1981,Great Western Forum             ,los angeles lakers
681,1982,Great Western Forum             ,los angeles lakers
682,1983,Great Western Forum             ,los angeles lakers
683,1984,Great Western Forum             ,los angeles lakers
684,1985,Great Western Forum             ,los angeles lakers
685,1986,Great Western Forum             ,los angeles lakers
686,1987,Great Western Forum             ,los angeles lakers
687,1988,Great Western Forum             ,los angeles lakers
688,1989,Great Western Forum             ,los angeles lakers
689,1990,Great Western Forum             ,los angeles lakers
690,1991,Great Western Forum             ,los angeles lakers
691,1992,Great Western Forum             ,los angeles lakers
692,1993,Great Western Forum             ,los angeles lakers
693,1994,Great Western Forum             ,los angeles lakers
694,1995,Great Western Forum             ,los angeles lakers
695,1996,Great Western Forum             ,los angeles lakers
696,1997,Great Western Forum             ,los angeles lakers
697,1998,Great Western Forum             ,los angeles lakers
698,1999,Staples Center              ,los angeles lakers
699,2000,Staples Center              ,los angeles lakers
700,2001,Staples Center              ,los angeles lakers
701,2002,Staples Center              ,los angeles lakers
702,2003,Staples Center              ,los angeles lakers
703,2004,Staples Center              ,los angeles lakers
704,2005,Staples Center              ,los angeles lakers
705,2006,Staples Center              ,los angeles lakers
706,2007,Staples Center              ,los angeles lakers
707,2008,Staples Center              ,los angeles lakers
708,2009,Staples Center              ,los angeles lakers
709,2010,Staples Center              ,los angeles lakers
710,2011,Staples Center              ,los angeles lakers
711,2012,Staples Center              ,los angeles lakers
712,2013,Staples Center              ,los angeles lakers
713,2014,Staples Center              ,los angeles lakers
714,2015,Staples Center              ,los angeles lakers
715,2016,Staples Center              ,los angeles lakers
716,2017,Staples Center              ,los angeles lakers
717,2018,Staples Center              ,los angeles lakers
718,1995,General Motors Place           ,memphis grizzlies
719,1996,General Motors Place           ,memphis grizzlies
720,1997,General Motors Place           ,memphis grizzlies
721,1998,General Motors Place           ,memphis grizzlies
722,1999,General Motors Place           ,memphis grizzlies
723,2000,General Motors Place           ,memphis grizzlies
724,2001,The Pryamid                     ,memphis grizzlies
725,2002,The Pryamid                     ,memphis grizzlies
726,2003,The Pryamid                     ,memphis grizzlies
727,2004,FedEx Forum                      ,memphis grizzlies
728,2005,FedEx Forum                      ,memphis grizzlies
729,2006,FedEx Forum                      ,memphis grizzlies
730,2007,FedEx Forum                      ,memphis grizzlies
731,2008,FedEx Forum                      ,memphis grizzlies
732,2009,FedEx Forum                      ,memphis grizzlies
733,2010,FedEx Forum                      ,memphis grizzlies
734,2011,FedEx Forum                      ,memphis grizzlies
735,2012,FedEx Forum                      ,memphis grizzlies
736,2013,FedEx Forum                      ,memphis grizzlies
737,2014,FedEx Forum                      ,memphis grizzlies
738,2015,FedEx Forum                      ,memphis grizzlies
739,2016,FedEx Forum                      ,memphis grizzlies
740,2017,FedEx Forum                      ,memphis grizzlies
741,2018,FedEx Forum                      ,memphis grizzlies
742,1988,Miami Arena                        ,miami heat
743,1989,Miami Arena                        ,miami heat
744,1990,Miami Arena                        ,miami heat
745,1991,Miami Arena                        ,miami heat
746,1992,Miami Arena                        ,miami heat
747,1993,Miami Arena                        ,miami heat
748,1994,Miami Arena                        ,miami heat
749,1995,Miami Arena                        ,miami heat
750,1996,Miami Arena                        ,miami heat
751,1997,Miami Arena                        ,miami heat
752,1998,Miami Arena                        ,miami heat
753,1999,American Airlines Arena            ,miami heat
754,2000,American Airlines Arena            ,miami heat
755,2001,American Airlines Arena            ,miami heat
756,2002,American Airlines Arena            ,miami heat
757,2003,American Airlines Arena            ,miami heat
758,2004,American Airlines Arena            ,miami heat
759,2005,American Airlines Arena            ,miami heat
760,2006,American Airlines Arena            ,miami heat
761,2007,American Airlines Arena            ,miami heat
762,2008,American Airlines Arena            ,miami heat
763,2009,American Airlines Arena            ,miami heat
764,2010,American Airlines Arena            ,miami heat
765,2011,American Airlines Arena            ,miami heat
766,2012,American Airlines Arena            ,miami heat
767,2013,American Airlines Arena            ,miami heat
768,2014,American Airlines Arena            ,miami heat
769,2015,American Airlines Arena            ,miami heat
770,2016,American Airlines Arena            ,miami heat
771,2017,American Airlines Arena            ,miami heat
772,2018,American Airlines Arena            ,miami heat
773,1989,Hubert H. Humphrey Metrodome   ,minnesota timberwolves
774,1990,Target Center                 ,minnesota timberwolves
775,1991,Target Center                 ,minnesota timberwolves
776,1992,Target Center                 ,minnesota timberwolves
777,1993,Target Center                 ,minnesota timberwolves
778,1994,Target Center                 ,minnesota timberwolves
779,1995,Target Center                 ,minnesota timberwolves
780,1996,Target Center                 ,minnesota timberwolves
781,1997,Target Center                 ,minnesota timberwolves
782,1998,Target Center                 ,minnesota timberwolves
783,1999,Target Center                 ,minnesota timberwolves
784,2000,Target Center                 ,minnesota timberwolves
785,2001,Target Center                 ,minnesota timberwolves
786,2002,Target Center                 ,minnesota timberwolves
787,2003,Target Center                 ,minnesota timberwolves
788,2004,Target Center                 ,minnesota timberwolves
789,2005,Target Center                 ,minnesota timberwolves
790,2006,Target Center                 ,minnesota timberwolves
791,2007,Target Center                 ,minnesota timberwolves
792,2008,Target Center                 ,minnesota timberwolves
793,2009,Target Center                 ,minnesota timberwolves
794,2010,Target Center                 ,minnesota timberwolves
795,2011,Target Center                 ,minnesota timberwolves
796,2012,Target Center                 ,minnesota timberwolves
797,2013,Target Center                 ,minnesota timberwolves
798,2014,Target Center                 ,minnesota timberwolves
799,2015,Target Center                 ,minnesota timberwolves
800,2016,Target Center                 ,minnesota timberwolves
801,2017,Target Center                 ,minnesota timberwolves
802,2018,Target Center                 ,minnesota timberwolves
803,1968,Milwaukee Arena                ,milwaukee bucks
804,1969,Milwaukee Arena                ,milwaukee bucks
805,1970,Milwaukee Arena                ,milwaukee bucks
806,1971,Milwaukee Arena                ,milwaukee bucks
807,1972,Milwaukee Arena                ,milwaukee bucks
808,1973,Milwaukee Arena                ,milwaukee bucks
809,1974,Milwaukee Arena                ,milwaukee bucks
810,1975,Milwaukee Arena                ,milwaukee bucks
811,1976,Milwaukee Arena                ,milwaukee bucks
812,1977,Milwaukee Arena                ,milwaukee bucks
813,1978,Milwaukee Arena                ,milwaukee bucks
814,1979,Milwaukee Arena                ,milwaukee bucks
815,1980,Milwaukee Arena                ,milwaukee bucks
816,1981,Milwaukee Arena                ,milwaukee bucks
817,1982,Milwaukee Arena                ,milwaukee bucks
818,1983,Milwaukee Arena                ,milwaukee bucks
819,1984,Milwaukee Arena                ,milwaukee bucks
820,1985,Milwaukee Arena                ,milwaukee bucks
821,1986,Milwaukee Arena                ,milwaukee bucks
822,1987,Milwaukee Arena                ,milwaukee bucks
823,1988,Bradley Center                 ,milwaukee bucks
824,1989,Bradley Center                 ,milwaukee bucks
825,1990,Bradley Center                 ,milwaukee bucks
826,1991,Bradley Center                 ,milwaukee bucks
827,1992,Bradley Center                 ,milwaukee bucks
828,1993,Bradley Center                 ,milwaukee bucks
829,1994,Bradley Center                 ,milwaukee bucks
830,1995,Bradley Center                 ,milwaukee bucks
831,1996,Bradley Center                 ,milwaukee bucks
832,1997,Bradley Center                 ,milwaukee bucks
833,1998,Bradley Center                 ,milwaukee bucks
834,1999,Bradley Center                 ,milwaukee bucks
835,2000,Bradley Center                 ,milwaukee bucks
836,2001,Bradley Center                 ,milwaukee bucks
837,2002,Bradley Center                 ,milwaukee bucks
838,2003,Bradley Center                 ,milwaukee bucks
839,2004,Bradley Center                 ,milwaukee bucks
840,2005,Bradley Center                 ,milwaukee bucks
841,2006,Bradley Center                 ,milwaukee bucks
842,2007,Bradley Center                 ,milwaukee bucks
843,2008,Bradley Center                 ,milwaukee bucks
844,2009,Bradley Center                 ,milwaukee bucks
845,2010,Bradley Center                 ,milwaukee bucks
846,2011,Bradley Center                 ,milwaukee bucks
847,2012,Bradley Center                 ,milwaukee bucks
848,2013,Bradley Center                 ,milwaukee bucks
849,2014,Bradley Center                 ,milwaukee bucks
850,2015,Bradley Center                 ,milwaukee bucks
851,2016,Bradley Center                 ,milwaukee bucks
852,2017,Bradley Center                 ,milwaukee bucks
853,2018,Bradley Center                 ,milwaukee bucks
854,1967,Teaneck Armory                    ,brooklyn nets
855,1968,Long Island Arena                 ,brooklyn nets
856,1969,Island Garden            ,brooklyn nets
857,1970,Island Garden            ,brooklyn nets
858,1971,Nassau Coliseum                ,brooklyn nets
859,1972,Nassau Coliseum                ,brooklyn nets
860,1973,Nassau Coliseum                ,brooklyn nets
861,1974,Nassau Coliseum                ,brooklyn nets
862,1975,Nassau Coliseum                ,brooklyn nets
863,1976,Nassau Coliseum                ,brooklyn nets
864,1977,Rutgers Athletic Center        ,brooklyn nets
865,1978,Rutgers Athletic Center        ,brooklyn nets
866,1979,Rutgers Athletic Center        ,brooklyn nets
867,1980,Rutgers Athletic Center        ,brooklyn nets
868,1981,Continental Airlines Arena    ,brooklyn nets
869,1982,Continental Airlines Arena    ,brooklyn nets
870,1983,Continental Airlines Arena    ,brooklyn nets
871,1984,Continental Airlines Arena    ,brooklyn nets
872,1985,Continental Airlines Arena    ,brooklyn nets
873,1986,Continental Airlines Arena    ,brooklyn nets
874,1987,Continental Airlines Arena    ,brooklyn nets
875,1988,Continental Airlines Arena    ,brooklyn nets
876,1989,Continental Airlines Arena    ,brooklyn nets
877,1990,Continental Airlines Arena    ,brooklyn nets
878,1991,Continental Airlines Arena    ,brooklyn nets
879,1992,Continental Airlines Arena    ,brooklyn nets
880,1993,Continental Airlines Arena    ,brooklyn nets
881,1994,Continental Airlines Arena    ,brooklyn nets
882,1995,Continental Airlines Arena    ,brooklyn nets
883,1996,Continental Airlines Arena    ,brooklyn nets
884,1997,Continental Airlines Arena    ,brooklyn nets
885,1998,Continental Airlines Arena    ,brooklyn nets
886,1999,Continental Airlines Arena    ,brooklyn nets
887,2000,Continental Airlines Arena    ,brooklyn nets
888,2001,Continental Airlines Arena    ,brooklyn nets
889,2002,Continental Airlines Arena    ,brooklyn nets
890,2003,Continental Airlines Arena    ,brooklyn nets
891,2004,Continental Airlines Arena    ,brooklyn nets
892,2005,Continental Airlines Arena    ,brooklyn nets
893,2006,Continental Airlines Arena    ,brooklyn nets
894,2007,Continental Airlines Arena    ,brooklyn nets
895,2008,Continental Airlines Arena    ,brooklyn nets
896,2009,Continental Airlines Arena    ,brooklyn nets
897,2010,Continental Airlines Arena    ,brooklyn nets
898,2011,Continental Airlines Arena    ,brooklyn nets
899,2012,Barclays Center                  ,brooklyn nets
900,2013,Barclays Center                  ,brooklyn nets
901,2014,Barclays Center                  ,brooklyn nets
902,2015,Barclays Center                  ,brooklyn nets
903,2016,Barclays Center                  ,brooklyn nets
904,2017,Barclays Center                  ,brooklyn nets
905,2018,Barclays Center                  ,brooklyn nets
906,1988,Charlotte Coliseum              ,new orleans pelicans
907,1989,Charlotte Coliseum              ,new orleans pelicans
908,1990,Charlotte Coliseum              ,new orleans pelicans
909,1991,Charlotte Coliseum              ,new orleans pelicans
910,1992,Charlotte Coliseum              ,new orleans pelicans
911,1993,Charlotte Coliseum              ,new orleans pelicans
912,1994,Charlotte Coliseum              ,new orleans pelicans
913,1995,Charlotte Coliseum              ,new orleans pelicans
914,1996,Charlotte Coliseum              ,new orleans pelicans
915,1997,Charlotte Coliseum              ,new orleans pelicans
916,1998,Charlotte Coliseum              ,new orleans pelicans
917,1999,Charlotte Coliseum              ,new orleans pelicans
918,2000,Charlotte Coliseum              ,new orleans pelicans
919,2002,New Orleans Arena         ,new orleans pelicans
920,2003,New Orleans Arena         ,new orleans pelicans
921,2004,New Orleans Arena         ,new orleans pelicans
922,2005,New Orleans Arena         ,new orleans pelicans
923,2006,New Orleans Arena         ,new orleans pelicans
924,2007,New Orleans Arena         ,new orleans pelicans
925,2008,New Orleans Arena         ,new orleans pelicans
926,2009,New Orleans Arena         ,new orleans pelicans
927,2010,New Orleans Arena         ,new orleans pelicans
928,2011,New Orleans Arena         ,new orleans pelicans
929,2012,New Orleans Arena         ,new orleans pelicans
930,2013,New Orleans Arena         ,new orleans pelicans
931,2014,Smoothie King Center     ,new orleans pelicans
932,2015,Smoothie King Center     ,new orleans pelicans
933,2016,Smoothie King Center     ,new orleans pelicans
934,2017,Smoothie King Center     ,new orleans pelicans
935,2018,Smoothie King Center     ,new orleans pelicans
936,1946,Madison Square Garden III     ,new york knicks
937,1947,Madison Square Garden III     ,new york knicks
938,1948,Madison Square Garden III     ,new york knicks
939,1949,Madison Square Garden III     ,new york knicks
940,1950,Madison Square Garden III     ,new york knicks
941,1951,Madison Square Garden III     ,new york knicks
942,1952,Madison Square Garden III     ,new york knicks
943,1953,Madison Square Garden III     ,new york knicks
944,1954,Madison Square Garden III     ,new york knicks
945,1955,Madison Square Garden III     ,new york knicks
946,1956,Madison Square Garden III     ,new york knicks
947,1957,Madison Square Garden III     ,new york knicks
948,1958,Madison Square Garden III     ,new york knicks
949,1959,Madison Square Garden III     ,new york knicks
950,1960,Madison Square Garden III     ,new york knicks
951,1961,Madison Square Garden III     ,new york knicks
952,1962,Madison Square Garden III     ,new york knicks
953,1963,Madison Square Garden III     ,new york knicks
954,1964,Madison Square Garden III     ,new york knicks
955,1965,Madison Square Garden III     ,new york knicks
956,1966,Madison Square Garden III     ,new york knicks
957,1967,Madison Square Garden III     ,new york knicks
958,1968,Madison Square Garden IV    ,new york knicks
959,1969,Madison Square Garden IV    ,new york knicks
960,1970,Madison Square Garden IV    ,new york knicks
961,1971,Madison Square Garden IV    ,new york knicks
962,1972,Madison Square Garden IV    ,new york knicks
963,1973,Madison Square Garden IV    ,new york knicks
964,1974,Madison Square Garden IV    ,new york knicks
965,1975,Madison Square Garden IV    ,new york knicks
966,1976,Madison Square Garden IV    ,new york knicks
967,1977,Madison Square Garden IV    ,new york knicks
968,1978,Madison Square Garden IV    ,new york knicks
969,1979,Madison Square Garden IV    ,new york knicks
970,1980,Madison Square Garden IV    ,new york knicks
971,1981,Madison Square Garden IV    ,new york knicks
972,1982,Madison Square Garden IV    ,new york knicks
973,1983,Madison Square Garden IV    ,new york knicks
974,1984,Madison Square Garden IV    ,new york knicks
975,1985,Madison Square Garden IV    ,new york knicks
976,1986,Madison Square Garden IV    ,new york knicks
977,1987,Madison Square Garden IV    ,new york knicks
978,1988,Madison Square Garden IV    ,new york knicks
979,1989,Madison Square Garden IV    ,new york knicks
980,1990,Madison Square Garden IV    ,new york knicks
981,1991,Madison Square Garden IV    ,new york knicks
982,1992,Madison Square Garden IV    ,new york knicks
983,1993,Madison Square Garden IV    ,new york knicks
984,1994,Madison Square Garden IV    ,new york knicks
985,1995,Madison Square Garden IV    ,new york knicks
986,1996,Madison Square Garden IV    ,new york knicks
987,1997,Madison Square Garden IV    ,new york knicks
988,1998,Madison Square Garden IV    ,new york knicks
989,1999,Madison Square Garden IV    ,new york knicks
990,2000,Madison Square Garden IV    ,new york knicks
991,2001,Madison Square Garden IV    ,new york knicks
992,2002,Madison Square Garden IV    ,new york knicks
993,2003,Madison Square Garden IV    ,new york knicks
994,2004,Madison Square Garden IV    ,new york knicks
995,2005,Madison Square Garden IV    ,new york knicks
996,2006,Madison Square Garden IV    ,new york knicks
997,2007,Madison Square Garden IV    ,new york knicks
998,2008,Madison Square Garden IV    ,new york knicks
999,2009,Madison Square Garden IV    ,new york knicks
1000,2010,Madison Square Garden IV    ,new york knicks
1001,2011,Madison Square Garden IV    ,new york knicks
1002,2012,Madison Square Garden IV    ,new york knicks
1003,2013,Madison Square Garden IV    ,new york knicks
1004,2014,Madison Square Garden IV    ,new york knicks
1005,2015,Madison Square Garden IV    ,new york knicks
1006,2016,Madison Square Garden IV    ,new york knicks
1007,2017,Madison Square Garden IV    ,new york knicks
1008,2018,Madison Square Garden IV    ,new york knicks
1009,1989,Orlando Arena                     ,orlando magic
1010,1990,Orlando Arena                     ,orlando magic
1011,1991,Orlando Arena                     ,orlando magic
1012,1992,Orlando Arena                     ,orlando magic
1013,1993,Orlando Arena                     ,orlando magic
1014,1994,Orlando Arena                     ,orlando magic
1015,1995,Orlando Arena                     ,orlando magic
1016,1996,Orlando Arena                     ,orlando magic
1017,1997,TD Waterhouse Arena               ,orlando magic
1018,1998,TD Waterhouse Arena               ,orlando magic
1019,1999,TD Waterhouse Arena               ,orlando magic
1020,2000,TD Waterhouse Arena               ,orlando magic
1021,2001,TD Waterhouse Arena               ,orlando magic
1022,2002,TD Waterhouse Arena               ,orlando magic
1023,2003,TD Waterhouse Arena               ,orlando magic
1024,2004,TD Waterhouse Arena               ,orlando magic
1025,2005,TD Waterhouse Arena               ,orlando magic
1026,2006,TD Waterhouse Arena               ,orlando magic
1027,2007,TD Waterhouse Arena               ,orlando magic
1028,2008,TD Waterhouse Arena               ,orlando magic
1029,2009,TD Waterhouse Arena               ,orlando magic
1030,2010,Amway Center                      ,orlando magic
1031,2011,Amway Center                      ,orlando magic
1032,2012,Amway Center                      ,orlando magic
1033,2013,Amway Center                      ,orlando magic
1034,2014,Amway Center                      ,orlando magic
1035,2015,Amway Center                      ,orlando magic
1036,2016,Amway Center                      ,orlando magic
1037,2017,Amway Center                      ,orlando magic
1038,2018,Amway Center                      ,orlando magic
1039,1949,State Fair Coliseum               ,philadelphia sixers
1040,1950,State Fair Coliseum               ,philadelphia sixers
1041,1951,Onondaga County War Memorial      ,philadelphia sixers
1042,1952,Onondaga County War Memorial      ,philadelphia sixers
1043,1953,Onondaga County War Memorial      ,philadelphia sixers
1044,1954,Onondaga County War Memorial      ,philadelphia sixers
1045,1955,Onondaga County War Memorial      ,philadelphia sixers
1046,1956,Onondaga County War Memorial      ,philadelphia sixers
1047,1957,Onondaga County War Memorial      ,philadelphia sixers
1048,1958,Onondaga County War Memorial      ,philadelphia sixers
1049,1959,Onondaga County War Memorial      ,philadelphia sixers
1050,1960,Onondaga County War Memorial      ,philadelphia sixers
1051,1961,Onondaga County War Memorial      ,philadelphia sixers
1052,1962,Onondaga County War Memorial      ,philadelphia sixers
1053,1963,Convention Hall               ,philadelphia sixers
1054,1964,Convention Hall               ,philadelphia sixers
1055,1965,Convention Hall               ,philadelphia sixers
1056,1966,Convention Hall               ,philadelphia sixers
1057,1967,First Union Spectrum          ,philadelphia sixers
1058,1968,First Union Spectrum          ,philadelphia sixers
1059,1969,First Union Spectrum          ,philadelphia sixers
1060,1970,First Union Spectrum          ,philadelphia sixers
1061,1971,First Union Spectrum          ,philadelphia sixers
1062,1972,First Union Spectrum          ,philadelphia sixers
1063,1973,First Union Spectrum          ,philadelphia sixers
1064,1974,First Union Spectrum          ,philadelphia sixers
1065,1975,First Union Spectrum          ,philadelphia sixers
1066,1976,First Union Spectrum          ,philadelphia sixers
1067,1977,First Union Spectrum          ,philadelphia sixers
1068,1978,First Union Spectrum          ,philadelphia sixers
1069,1979,First Union Spectrum          ,philadelphia sixers
1070,1980,First Union Spectrum          ,philadelphia sixers
1071,1981,First Union Spectrum          ,philadelphia sixers
1072,1982,First Union Spectrum          ,philadelphia sixers
1073,1983,First Union Spectrum          ,philadelphia sixers
1074,1984,First Union Spectrum          ,philadelphia sixers
1075,1985,First Union Spectrum          ,philadelphia sixers
1076,1986,First Union Spectrum          ,philadelphia sixers
1077,1987,First Union Spectrum          ,philadelphia sixers
1078,1988,First Union Spectrum          ,philadelphia sixers
1079,1989,First Union Spectrum          ,philadelphia sixers
1080,1990,First Union Spectrum          ,philadelphia sixers
1081,1991,First Union Spectrum          ,philadelphia sixers
1082,1992,First Union Spectrum          ,philadelphia sixers
1083,1993,First Union Spectrum          ,philadelphia sixers
1084,1994,First Union Spectrum          ,philadelphia sixers
1085,1995,First Union Spectrum          ,philadelphia sixers
1086,1996,First Union Center            ,philadelphia sixers
1087,1997,First Union Center            ,philadelphia sixers
1088,1998,First Union Center            ,philadelphia sixers
1089,1999,First Union Center            ,philadelphia sixers
1090,2000,First Union Center            ,philadelphia sixers
1091,2001,First Union Center            ,philadelphia sixers
1092,2002,First Union Center            ,philadelphia sixers
1093,2003,Wahcovia center                 ,philadelphia sixers
1094,2004,Wahcovia center                 ,philadelphia sixers
1095,2005,Wahcovia center                 ,philadelphia sixers
1096,2006,Wahcovia center                 ,philadelphia sixers
1097,2007,Wahcovia center                 ,philadelphia sixers
1098,2008,Wahcovia center                 ,philadelphia sixers
1099,2009,Wahcovia center                 ,philadelphia sixers
1100,2010,Wells Fargo Center            ,philadelphia sixers
1101,2011,Wells Fargo Center            ,philadelphia sixers
1102,2012,Wells Fargo Center            ,philadelphia sixers
1103,2013,Wells Fargo Center            ,philadelphia sixers
1104,2014,Wells Fargo Center            ,philadelphia sixers
1105,2015,Wells Fargo Center            ,philadelphia sixers
1106,2016,Wells Fargo Center            ,philadelphia sixers
1107,2017,Wells Fargo Center            ,philadelphia sixers
1108,2018,Wells Fargo Center            ,philadelphia sixers
1109,1968,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1110,1969,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1111,1970,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1112,1971,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1113,1972,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1114,1973,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1115,1974,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1116,1975,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1117,1976,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1118,1977,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1119,1978,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1120,1979,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1121,1980,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1122,1981,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1123,1982,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1124,1983,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1125,1984,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1126,1985,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1127,1986,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1128,1987,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1129,1988,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1130,1989,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1131,1990,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1132,1991,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1133,1992,America West Arena                ,phoenix suns
1134,1993,America West Arena                ,phoenix suns
1135,1994,America West Arena                ,phoenix suns
1136,1995,America West Arena                ,phoenix suns
1137,1996,America West Arena                ,phoenix suns
1138,1997,America West Arena                ,phoenix suns
1139,1998,America West Arena                ,phoenix suns
1140,1999,America West Arena                ,phoenix suns
1141,2000,America West Arena                ,phoenix suns
1142,2001,America West Arena                ,phoenix suns
1143,2002,America West Arena                ,phoenix suns
1144,2003,America West Arena                ,phoenix suns
1145,2004,America West Arena                ,phoenix suns
1146,2005,America West Arena                ,phoenix suns
1147,2006,America West Arena                ,phoenix suns
1148,2007,America West Arena                ,phoenix suns
1149,2008,America West Arena                ,phoenix suns
1150,2009,America West Arena                ,phoenix suns
1151,2010,America West Arena                ,phoenix suns
1152,2011,America West Arena                ,phoenix suns
1153,2012,America West Arena                ,phoenix suns
1154,2013,America West Arena                ,phoenix suns
1155,2014,America West Arena                ,phoenix suns
1156,2015,Talking Stick Resort Arena        ,phoenix suns
1157,2016,Talking Stick Resort Arena        ,phoenix suns
1158,2017,Talking Stick Resort Arena        ,phoenix suns
1159,2018,Talking Stick Resort Arena        ,phoenix suns
1160,1970,Memorial Coliseum                ,portland trailblazers
1161,1971,Memorial Coliseum                ,portland trailblazers
1162,1972,Memorial Coliseum                ,portland trailblazers
1163,1973,Memorial Coliseum                ,portland trailblazers
1164,1974,Memorial Coliseum                ,portland trailblazers
1165,1975,Memorial Coliseum                ,portland trailblazers
1166,1976,Memorial Coliseum                ,portland trailblazers
