year,venue,team
1956,Minneapolis Auditorium        ,los angeles lakers
1957,Minneapolis Auditorium        ,los angeles lakers
1958,Minneapolis Auditorium        ,los angeles lakers
1959,Minneapolis Auditorium        ,los angeles lakers
1960,Los Angeles Sports Arena  ,los angeles lakers
1961,Los Angeles Sports Arena  ,los angeles lakers
1962,Los Angeles Sports Arena  ,los angeles lakers
1963,Los Angeles Sports Arena  ,los angeles lakers
1964,Los Angeles Sports Arena  ,los angeles lakers
1965,Los Angeles Sports Arena  ,los angeles lakers
1966,Los Angeles Sports Arena  ,los angeles lakers
1967,Great Western Forum             ,los angeles lakers
1968,Great Western Forum             ,los angeles lakers
1969,Great Western Forum             ,los angeles lakers
1970,Great Western Forum             ,los angeles lakers
1971,Great Western Forum             ,los angeles lakers
1972,Great Western Forum             ,los angeles lakers
1973,Great Western Forum             ,los angeles lakers
1974,Great Western Forum             ,los angeles lakers
1975,Great Western Forum             ,los angeles lakers
1976,Great Western Forum             ,los angeles lakers
1977,Great Western Forum             ,los angeles lakers
1978,Great Western Forum             ,los angeles lakers
1979,Great Western Forum             ,los angeles lakers
1980,Great Western Forum             ,los angeles lakers
1981,Great Western Forum             ,los angeles lakers
1982,Great Western Forum             ,los angeles lakers
1983,Great Western Forum             ,los angeles lakers
1984,Great Western Forum             ,los angeles lakers
1985,Great Western Forum             ,los angeles lakers
1986,Great Western Forum             ,los angeles lakers
1987,Great Western Forum             ,los angeles lakers
1988,Great Western Forum             ,los angeles lakers
1989,Great Western Forum             ,los angeles lakers
1990,Great Western Forum             ,los angeles lakers
1991,Great Western Forum             ,los angeles lakers
1992,Great Western Forum             ,los angeles lakers
1993,Great Western Forum             ,los angeles lakers
1994,Great Western Forum             ,los angeles lakers
1995,Great Western Forum             ,los angeles lakers
1996,Great Western Forum             ,los angeles lakers
1997,Great Western Forum             ,los angeles lakers
1998,Great Western Forum             ,los angeles lakers
1999,Staples Center              ,los angeles lakers
2000,Staples Center              ,los angeles lakers
2001,Staples Center              ,los angeles lakers
2002,Staples Center              ,los angeles lakers
2003,Staples Center              ,los angeles lakers
2004,Staples Center              ,los angeles lakers
2005,Staples Center              ,los angeles lakers
2006,Staples Center              ,los angeles lakers
2007,Staples Center              ,los angeles lakers
2008,Staples Center              ,los angeles lakers
2009,Staples Center              ,los angeles lakers
2010,Staples Center              ,los angeles lakers
2011,Staples Center              ,los angeles lakers
2012,Staples Center              ,los angeles lakers
2013,Staples Center              ,los angeles lakers
2014,Staples Center              ,los angeles lakers
2015,Staples Center              ,los angeles lakers
2016,Staples Center              ,los angeles lakers
2017,Staples Center              ,los angeles lakers
2018,Staples Center              ,los angeles lakers
1995,General Motors Place           ,memphis grizzlies
1996,General Motors Place           ,memphis grizzlies
1997,General Motors Place           ,memphis grizzlies
1998,General Motors Place           ,memphis grizzlies
1999,General Motors Place           ,memphis grizzlies
2000,General Motors Place           ,memphis grizzlies
2001,The Pryamid                     ,memphis grizzlies
2002,The Pryamid                     ,memphis grizzlies
2003,The Pryamid                     ,memphis grizzlies
2004,FedEx Forum                      ,memphis grizzlies
2005,FedEx Forum                      ,memphis grizzlies
2006,FedEx Forum                      ,memphis grizzlies
2007,FedEx Forum                      ,memphis grizzlies
2008,FedEx Forum                      ,memphis grizzlies
2009,FedEx Forum                      ,memphis grizzlies
2010,FedEx Forum                      ,memphis grizzlies
2011,FedEx Forum                      ,memphis grizzlies
2012,FedEx Forum                      ,memphis grizzlies
2013,FedEx Forum                      ,memphis grizzlies
2014,FedEx Forum                      ,memphis grizzlies
2015,FedEx Forum                      ,memphis grizzlies
2016,FedEx Forum                      ,memphis grizzlies
2017,FedEx Forum                      ,memphis grizzlies
2018,FedEx Forum                      ,memphis grizzlies
1988,Miami Arena                        ,miami heat
1989,Miami Arena                        ,miami heat
1990,Miami Arena                        ,miami heat
1991,Miami Arena                        ,miami heat
1992,Miami Arena                        ,miami heat
1993,Miami Arena                        ,miami heat
1994,Miami Arena                        ,miami heat
1995,Miami Arena                        ,miami heat
1996,Miami Arena                        ,miami heat
1997,Miami Arena                        ,miami heat
1998,Miami Arena                        ,miami heat
1999,American Airlines Arena            ,miami heat
2000,American Airlines Arena            ,miami heat
2001,American Airlines Arena            ,miami heat
2002,American Airlines Arena            ,miami heat
2003,American Airlines Arena            ,miami heat
2004,American Airlines Arena            ,miami heat
2005,American Airlines Arena            ,miami heat
2006,American Airlines Arena            ,miami heat
2007,American Airlines Arena            ,miami heat
2008,American Airlines Arena            ,miami heat
2009,American Airlines Arena            ,miami heat
2010,American Airlines Arena            ,miami heat
2011,American Airlines Arena            ,miami heat
2012,American Airlines Arena            ,miami heat
2013,American Airlines Arena            ,miami heat
2014,American Airlines Arena            ,miami heat
2015,American Airlines Arena            ,miami heat
2016,American Airlines Arena            ,miami heat
2017,American Airlines Arena            ,miami heat
2018,American Airlines Arena            ,miami heat
1989,Hubert H. Humphrey Metrodome   ,minnesota timberwolves
1990,Target Center                 ,minnesota timberwolves
1991,Target Center                 ,minnesota timberwolves
1992,Target Center                 ,minnesota timberwolves
1993,Target Center                 ,minnesota timberwolves
1994,Target Center                 ,minnesota timberwolves
1995,Target Center                 ,minnesota timberwolves
1996,Target Center                 ,minnesota timberwolves
1997,Target Center                 ,minnesota timberwolves
1998,Target Center                 ,minnesota timberwolves
1999,Target Center                 ,minnesota timberwolves
2000,Target Center                 ,minnesota timberwolves
2001,Target Center                 ,minnesota timberwolves
2002,Target Center                 ,minnesota timberwolves
2003,Target Center                 ,minnesota timberwolves
2004,Target Center                 ,minnesota timberwolves
2005,Target Center                 ,minnesota timberwolves
2006,Target Center                 ,minnesota timberwolves
2007,Target Center                 ,minnesota timberwolves
2008,Target Center                 ,minnesota timberwolves
2009,Target Center                 ,minnesota timberwolves
2010,Target Center                 ,minnesota timberwolves
2011,Target Center                 ,minnesota timberwolves
2012,Target Center                 ,minnesota timberwolves
2013,Target Center                 ,minnesota timberwolves
2014,Target Center                 ,minnesota timberwolves
2015,Target Center                 ,minnesota timberwolves
2016,Target Center                 ,minnesota timberwolves
2017,Target Center                 ,minnesota timberwolves
2018,Target Center                 ,minnesota timberwolves
1968,Milwaukee Arena                ,milwaukee bucks
1969,Milwaukee Arena                ,milwaukee bucks
1970,Milwaukee Arena                ,milwaukee bucks
1971,Milwaukee Arena                ,milwaukee bucks
1972,Milwaukee Arena                ,milwaukee bucks
1973,Milwaukee Arena                ,milwaukee bucks
1974,Milwaukee Arena                ,milwaukee bucks
1975,Milwaukee Arena                ,milwaukee bucks
1976,Milwaukee Arena                ,milwaukee bucks
1977,Milwaukee Arena                ,milwaukee bucks
1978,Milwaukee Arena                ,milwaukee bucks
1979,Milwaukee Arena                ,milwaukee bucks
1980,Milwaukee Arena                ,milwaukee bucks
1981,Milwaukee Arena                ,milwaukee bucks
1982,Milwaukee Arena                ,milwaukee bucks
1983,Milwaukee Arena                ,milwaukee bucks
1984,Milwaukee Arena                ,milwaukee bucks
1985,Milwaukee Arena                ,milwaukee bucks
1986,Milwaukee Arena                ,milwaukee bucks
1987,Milwaukee Arena                ,milwaukee bucks
1988,Bradley Center                 ,milwaukee bucks
1989,Bradley Center                 ,milwaukee bucks
1990,Bradley Center                 ,milwaukee bucks
1991,Bradley Center                 ,milwaukee bucks
1992,Bradley Center                 ,milwaukee bucks
1993,Bradley Center                 ,milwaukee bucks
1994,Bradley Center                 ,milwaukee bucks
1995,Bradley Center                 ,milwaukee bucks
1996,Bradley Center                 ,milwaukee bucks
1997,Bradley Center                 ,milwaukee bucks
1998,Bradley Center                 ,milwaukee bucks
1999,Bradley Center                 ,milwaukee bucks
2000,Bradley Center                 ,milwaukee bucks
2001,Bradley Center                 ,milwaukee bucks
2002,Bradley Center                 ,milwaukee bucks
2003,Bradley Center                 ,milwaukee bucks
2004,Bradley Center                 ,milwaukee bucks
2005,Bradley Center                 ,milwaukee bucks
2006,Bradley Center                 ,milwaukee bucks
2007,Bradley Center                 ,milwaukee bucks
2008,Bradley Center                 ,milwaukee bucks
2009,Bradley Center                 ,milwaukee bucks
2010,Bradley Center                 ,milwaukee bucks
2011,Bradley Center                 ,milwaukee bucks
2012,Bradley Center                 ,milwaukee bucks
2013,Bradley Center                 ,milwaukee bucks
2014,Bradley Center                 ,milwaukee bucks
2015,Bradley Center                 ,milwaukee bucks
2016,Bradley Center                 ,milwaukee bucks
2017,Bradley Center                 ,milwaukee bucks
2018,Bradley Center                 ,milwaukee bucks
1967,Teaneck Armory                    ,brooklyn nets
1968,Long Island Arena                 ,brooklyn nets
1969,Island Garden            ,brooklyn nets
1970,Island Garden            ,brooklyn nets
1971,Nassau Coliseum                ,brooklyn nets
1972,Nassau Coliseum                ,brooklyn nets
1973,Nassau Coliseum                ,brooklyn nets
1974,Nassau Coliseum                ,brooklyn nets
1975,Nassau Coliseum                ,brooklyn nets
1976,Nassau Coliseum                ,brooklyn nets
1977,Rutgers Athletic Center        ,brooklyn nets
1978,Rutgers Athletic Center        ,brooklyn nets
1979,Rutgers Athletic Center        ,brooklyn nets
1980,Rutgers Athletic Center        ,brooklyn nets
1981,Continental Airlines Arena    ,brooklyn nets
1982,Continental Airlines Arena    ,brooklyn nets
1983,Continental Airlines Arena    ,brooklyn nets
1984,Continental Airlines Arena    ,brooklyn nets
1985,Continental Airlines Arena    ,brooklyn nets
1986,Continental Airlines Arena    ,brooklyn nets
1987,Continental Airlines Arena    ,brooklyn nets
1988,Continental Airlines Arena    ,brooklyn nets
1989,Continental Airlines Arena    ,brooklyn nets
1990,Continental Airlines Arena    ,brooklyn nets
1991,Continental Airlines Arena    ,brooklyn nets
1992,Continental Airlines Arena    ,brooklyn nets
1993,Continental Airlines Arena    ,brooklyn nets
1994,Continental Airlines Arena    ,brooklyn nets
1995,Continental Airlines Arena    ,brooklyn nets
1996,Continental Airlines Arena    ,brooklyn nets
1997,Continental Airlines Arena    ,brooklyn nets
1998,Continental Airlines Arena    ,brooklyn nets
1999,Continental Airlines Arena    ,brooklyn nets
2000,Continental Airlines Arena    ,brooklyn nets
2001,Continental Airlines Arena    ,brooklyn nets
2002,Continental Airlines Arena    ,brooklyn nets
2003,Continental Airlines Arena    ,brooklyn nets
2004,Continental Airlines Arena    ,brooklyn nets
2005,Continental Airlines Arena    ,brooklyn nets
2006,Continental Airlines Arena    ,brooklyn nets
2007,Continental Airlines Arena    ,brooklyn nets
2008,Continental Airlines Arena    ,brooklyn nets
2009,Continental Airlines Arena    ,brooklyn nets
2010,Continental Airlines Arena    ,brooklyn nets
2011,Continental Airlines Arena    ,brooklyn nets
2012,Barclays Center                  ,brooklyn nets
2013,Barclays Center                  ,brooklyn nets
2014,Barclays Center                  ,brooklyn nets
2015,Barclays Center                  ,brooklyn nets
2016,Barclays Center                  ,brooklyn nets
2017,Barclays Center                  ,brooklyn nets
2018,Barclays Center                  ,brooklyn nets
1988,Charlotte Coliseum              ,new orleans pelicans
1989,Charlotte Coliseum              ,new orleans pelicans
1990,Charlotte Coliseum              ,new orleans pelicans
1991,Charlotte Coliseum              ,new orleans pelicans
1992,Charlotte Coliseum              ,new orleans pelicans
1993,Charlotte Coliseum              ,new orleans pelicans
1994,Charlotte Coliseum              ,new orleans pelicans
1995,Charlotte Coliseum              ,new orleans pelicans
1996,Charlotte Coliseum              ,new orleans pelicans
1997,Charlotte Coliseum              ,new orleans pelicans
1998,Charlotte Coliseum              ,new orleans pelicans
1999,Charlotte Coliseum              ,new orleans pelicans
2000,Charlotte Coliseum              ,new orleans pelicans
2002,New Orleans Arena         ,new orleans pelicans
2003,New Orleans Arena         ,new orleans pelicans
2004,New Orleans Arena         ,new orleans pelicans
2005,New Orleans Arena         ,new orleans pelicans
2006,New Orleans Arena         ,new orleans pelicans
2007,New Orleans Arena         ,new orleans pelicans
2008,New Orleans Arena         ,new orleans pelicans
2009,New Orleans Arena         ,new orleans pelicans
2010,New Orleans Arena         ,new orleans pelicans
2011,New Orleans Arena         ,new orleans pelicans
2012,New Orleans Arena         ,new orleans pelicans
2013,New Orleans Arena         ,new orleans pelicans
2014,Smoothie King Center     ,new orleans pelicans
2015,Smoothie King Center     ,new orleans pelicans
2016,Smoothie King Center     ,new orleans pelicans
2017,Smoothie King Center     ,new orleans pelicans
2018,Smoothie King Center     ,new orleans pelicans
1946,Madison Square Garden III     ,new york knicks
1947,Madison Square Garden III     ,new york knicks
1948,Madison Square Garden III     ,new york knicks
1949,Madison Square Garden III     ,new york knicks
1950,Madison Square Garden III     ,new york knicks
1951,Madison Square Garden III     ,new york knicks
1952,Madison Square Garden III     ,new york knicks
1953,Madison Square Garden III     ,new york knicks
1954,Madison Square Garden III     ,new york knicks
1955,Madison Square Garden III     ,new york knicks
1956,Madison Square Garden III     ,new york knicks
1957,Madison Square Garden III     ,new york knicks
1958,Madison Square Garden III     ,new york knicks
1959,Madison Square Garden III     ,new york knicks
1960,Madison Square Garden III     ,new york knicks
1961,Madison Square Garden III     ,new york knicks
1962,Madison Square Garden III     ,new york knicks
1963,Madison Square Garden III     ,new york knicks
1964,Madison Square Garden III     ,new york knicks
1965,Madison Square Garden III     ,new york knicks
1966,Madison Square Garden III     ,new york knicks
1967,Madison Square Garden III     ,new york knicks
1968,Madison Square Garden IV    ,new york knicks
1969,Madison Square Garden IV    ,new york knicks
1970,Madison Square Garden IV    ,new york knicks
1971,Madison Square Garden IV    ,new york knicks
1972,Madison Square Garden IV    ,new york knicks
1973,Madison Square Garden IV    ,new york knicks
1974,Madison Square Garden IV    ,new york knicks
1975,Madison Square Garden IV    ,new york knicks
1976,Madison Square Garden IV    ,new york knicks
1977,Madison Square Garden IV    ,new york knicks
1978,Madison Square Garden IV    ,new york knicks
1979,Madison Square Garden IV    ,new york knicks
1980,Madison Square Garden IV    ,new york knicks
1981,Madison Square Garden IV    ,new york knicks
1982,Madison Square Garden IV    ,new york knicks
1983,Madison Square Garden IV    ,new york knicks
1984,Madison Square Garden IV    ,new york knicks
1985,Madison Square Garden IV    ,new york knicks
1986,Madison Square Garden IV    ,new york knicks
1987,Madison Square Garden IV    ,new york knicks
1988,Madison Square Garden IV    ,new york knicks
1989,Madison Square Garden IV    ,new york knicks
1990,Madison Square Garden IV    ,new york knicks
1991,Madison Square Garden IV    ,new york knicks
1992,Madison Square Garden IV    ,new york knicks
1993,Madison Square Garden IV    ,new york knicks
1994,Madison Square Garden IV    ,new york knicks
1995,Madison Square Garden IV    ,new york knicks
1996,Madison Square Garden IV    ,new york knicks
1997,Madison Square Garden IV    ,new york knicks
1998,Madison Square Garden IV    ,new york knicks
1999,Madison Square Garden IV    ,new york knicks
2000,Madison Square Garden IV    ,new york knicks
2001,Madison Square Garden IV    ,new york knicks
2002,Madison Square Garden IV    ,new york knicks
2003,Madison Square Garden IV    ,new york knicks
2004,Madison Square Garden IV    ,new york knicks
2005,Madison Square Garden IV    ,new york knicks
2006,Madison Square Garden IV    ,new york knicks
2007,Madison Square Garden IV    ,new york knicks
2008,Madison Square Garden IV    ,new york knicks
2009,Madison Square Garden IV    ,new york knicks
2010,Madison Square Garden IV    ,new york knicks
2011,Madison Square Garden IV    ,new york knicks
2012,Madison Square Garden IV    ,new york knicks
2013,Madison Square Garden IV    ,new york knicks
2014,Madison Square Garden IV    ,new york knicks
2015,Madison Square Garden IV    ,new york knicks
2016,Madison Square Garden IV    ,new york knicks
2017,Madison Square Garden IV    ,new york knicks
2018,Madison Square Garden IV    ,new york knicks
1989,Orlando Arena                     ,orlando magic
1990,Orlando Arena                     ,orlando magic
1991,Orlando Arena                     ,orlando magic
1992,Orlando Arena                     ,orlando magic
1993,Orlando Arena                     ,orlando magic
1994,Orlando Arena                     ,orlando magic
1995,Orlando Arena                     ,orlando magic
1996,Orlando Arena                     ,orlando magic
1997,TD Waterhouse Arena               ,orlando magic
1998,TD Waterhouse Arena               ,orlando magic
1999,TD Waterhouse Arena               ,orlando magic
2000,TD Waterhouse Arena               ,orlando magic
2001,TD Waterhouse Arena               ,orlando magic
2002,TD Waterhouse Arena               ,orlando magic
2003,TD Waterhouse Arena               ,orlando magic
2004,TD Waterhouse Arena               ,orlando magic
2005,TD Waterhouse Arena               ,orlando magic
2006,TD Waterhouse Arena               ,orlando magic
2007,TD Waterhouse Arena               ,orlando magic
2008,TD Waterhouse Arena               ,orlando magic
2009,TD Waterhouse Arena               ,orlando magic
2010,Amway Center                      ,orlando magic
2011,Amway Center                      ,orlando magic
2012,Amway Center                      ,orlando magic
2013,Amway Center                      ,orlando magic
2014,Amway Center                      ,orlando magic
2015,Amway Center                      ,orlando magic
2016,Amway Center                      ,orlando magic
2017,Amway Center                      ,orlando magic
2018,Amway Center                      ,orlando magic
1949,State Fair Coliseum               ,philadelphia sixers
1950,State Fair Coliseum               ,philadelphia sixers
1951,Onondaga County War Memorial      ,philadelphia sixers
1952,Onondaga County War Memorial      ,philadelphia sixers
1953,Onondaga County War Memorial      ,philadelphia sixers
1954,Onondaga County War Memorial      ,philadelphia sixers
1955,Onondaga County War Memorial      ,philadelphia sixers
1956,Onondaga County War Memorial      ,philadelphia sixers
1957,Onondaga County War Memorial      ,philadelphia sixers
1958,Onondaga County War Memorial      ,philadelphia sixers
1959,Onondaga County War Memorial      ,philadelphia sixers
1960,Onondaga County War Memorial      ,philadelphia sixers
1961,Onondaga County War Memorial      ,philadelphia sixers
1962,Onondaga County War Memorial      ,philadelphia sixers
1963,Convention Hall               ,philadelphia sixers
1964,Convention Hall               ,philadelphia sixers
1965,Convention Hall               ,philadelphia sixers
1966,Convention Hall               ,philadelphia sixers
1967,First Union Spectrum          ,philadelphia sixers
1968,First Union Spectrum          ,philadelphia sixers
1969,First Union Spectrum          ,philadelphia sixers
1970,First Union Spectrum          ,philadelphia sixers
1971,First Union Spectrum          ,philadelphia sixers
1972,First Union Spectrum          ,philadelphia sixers
1973,First Union Spectrum          ,philadelphia sixers
1974,First Union Spectrum          ,philadelphia sixers
1975,First Union Spectrum          ,philadelphia sixers
1976,First Union Spectrum          ,philadelphia sixers
1977,First Union Spectrum          ,philadelphia sixers
1978,First Union Spectrum          ,philadelphia sixers
1979,First Union Spectrum          ,philadelphia sixers
1980,First Union Spectrum          ,philadelphia sixers
1981,First Union Spectrum          ,philadelphia sixers
1982,First Union Spectrum          ,philadelphia sixers
1983,First Union Spectrum          ,philadelphia sixers
1984,First Union Spectrum          ,philadelphia sixers
1985,First Union Spectrum          ,philadelphia sixers
1986,First Union Spectrum          ,philadelphia sixers
1987,First Union Spectrum          ,philadelphia sixers
1988,First Union Spectrum          ,philadelphia sixers
1989,First Union Spectrum          ,philadelphia sixers
1990,First Union Spectrum          ,philadelphia sixers
1991,First Union Spectrum          ,philadelphia sixers
1992,First Union Spectrum          ,philadelphia sixers
1993,First Union Spectrum          ,philadelphia sixers
1994,First Union Spectrum          ,philadelphia sixers
1995,First Union Spectrum          ,philadelphia sixers
1996,First Union Center            ,philadelphia sixers
1997,First Union Center            ,philadelphia sixers
1998,First Union Center            ,philadelphia sixers
1999,First Union Center            ,philadelphia sixers
2000,First Union Center            ,philadelphia sixers
2001,First Union Center            ,philadelphia sixers
2002,First Union Center            ,philadelphia sixers
2003,Wahcovia center                 ,philadelphia sixers
2004,Wahcovia center                 ,philadelphia sixers
2005,Wahcovia center                 ,philadelphia sixers
2006,Wahcovia center                 ,philadelphia sixers
2007,Wahcovia center                 ,philadelphia sixers
2008,Wahcovia center                 ,philadelphia sixers
2009,Wahcovia center                 ,philadelphia sixers
2010,Wells Fargo Center            ,philadelphia sixers
2011,Wells Fargo Center            ,philadelphia sixers
2012,Wells Fargo Center            ,philadelphia sixers
2013,Wells Fargo Center            ,philadelphia sixers
2014,Wells Fargo Center            ,philadelphia sixers
2015,Wells Fargo Center            ,philadelphia sixers
2016,Wells Fargo Center            ,philadelphia sixers
2017,Wells Fargo Center            ,philadelphia sixers
2018,Wells Fargo Center            ,philadelphia sixers
1968,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1969,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1970,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1971,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1972,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1973,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1974,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1975,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1976,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1977,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1978,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1979,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1980,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1981,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1982,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1983,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1984,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1985,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1986,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1987,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1988,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1989,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1990,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1991,Arizona Veterans' Memorial Coliseum   ,phoenix suns
1992,America West Arena                ,phoenix suns
1993,America West Arena                ,phoenix suns
1994,America West Arena                ,phoenix suns
1995,America West Arena                ,phoenix suns
1996,America West Arena                ,phoenix suns
1997,America West Arena                ,phoenix suns
1998,America West Arena                ,phoenix suns
1999,America West Arena                ,phoenix suns
2000,America West Arena                ,phoenix suns
2001,America West Arena                ,phoenix suns
2002,America West Arena                ,phoenix suns
2003,America West Arena                ,phoenix suns
2004,America West Arena                ,phoenix suns
2005,America West Arena                ,phoenix suns
2006,America West Arena                ,phoenix suns
2007,America West Arena                ,phoenix suns
2008,America West Arena                ,phoenix suns
2009,America West Arena                ,phoenix suns
2010,America West Arena                ,phoenix suns
2011,America West Arena                ,phoenix suns
2012,America West Arena                ,phoenix suns
2013,America West Arena                ,phoenix suns
2014,America West Arena                ,phoenix suns
2015,Talking Stick Resort Arena        ,phoenix suns
2016,Talking Stick Resort Arena        ,phoenix suns
2017,Talking Stick Resort Arena        ,phoenix suns
2018,Talking Stick Resort Arena        ,phoenix suns
1970,Memorial Coliseum                ,portland trailblazers
1971,Memorial Coliseum                ,portland trailblazers
1972,Memorial Coliseum                ,portland trailblazers
1973,Memorial Coliseum                ,portland trailblazers
1974,Memorial Coliseum                ,portland trailblazers
1975,Memorial Coliseum                ,portland trailblazers
1976,Memorial Coliseum                ,portland trailblazers
1977,Memorial Coliseum                ,portland trailblazers
1978,Memorial Coliseum                ,portland trailblazers
1979,Memorial Coliseum                ,portland trailblazers
1980,Memorial Coliseum                ,portland trailblazers
1981,Memorial Coliseum                ,portland trailblazers
1982,Memorial Coliseum                ,portland trailblazers
1983,Memorial Coliseum                ,portland trailblazers
1984,Memorial Coliseum                ,portland trailblazers
1985,Memorial Coliseum                ,portland trailblazers
1986,Memorial Coliseum                ,portland trailblazers
1987,Memorial Coliseum                ,portland trailblazers
1988,Memorial Coliseum                ,portland trailblazers
1989,Memorial Coliseum                ,portland trailblazers
1990,Memorial Coliseum                ,portland trailblazers
1991,Memorial Coliseum                ,portland trailblazers
1992,Memorial Coliseum                ,portland trailblazers
1993,Memorial Coliseum                ,portland trailblazers
1994,Memorial Coliseum                ,portland trailblazers
1995,Rose Garden                      ,portland trailblazers
1996,Rose Garden                      ,portland trailblazers
1997,Rose Garden                      ,portland trailblazers
1998,Rose Garden                      ,portland trailblazers
1999,Rose Garden                      ,portland trailblazers
2000,Rose Garden                      ,portland trailblazers
2001,Rose Garden                      ,portland trailblazers
2002,Rose Garden                      ,portland trailblazers
2003,Rose Garden                      ,portland trailblazers
2004,Rose Garden                      ,portland trailblazers
2005,Rose Garden                      ,portland trailblazers
2006,Rose Garden                      ,portland trailblazers
2007,Rose Garden                      ,portland trailblazers
2008,Rose Garden                      ,portland trailblazers
2009,Rose Garden                      ,portland trailblazers
2010,Rose Garden                      ,portland trailblazers
2011,Rose Garden                      ,portland trailblazers
2012,Rose Garden                      ,portland trailblazers
2013,Rose Garden                      ,portland trailblazers
2014,Moda Center                      ,portland trailblazers
2015,Moda Center                      ,portland trailblazers
2016,Moda Center                      ,portland trailblazers
2017,Moda Center                      ,portland trailblazers
2018,Moda Center                      ,portland trailblazers
1948,Edgarton Park Arena              ,sacramento kings
1949,Edgarton Park Arena              ,sacramento kings
1950,Edgarton Park Arena              ,sacramento kings
1951,Edgarton Park Arena              ,sacramento kings
1952,Edgarton Park Arena              ,sacramento kings
1953,Edgarton Park Arena              ,sacramento kings
1954,Edgarton Park Arena              ,sacramento kings
1955,Rochester War Memorial          ,sacramento kings
1956,Rochester War Memorial          ,sacramento kings
1957,Rochester War Memorial          ,sacramento kings
1958,Cincinnati Gardens             ,sacramento kings
1959,Cincinnati Gardens             ,sacramento kings
1960,Cincinnati Gardens             ,sacramento kings
1961,Cincinnati Gardens             ,sacramento kings
1962,Cincinnati Gardens             ,sacramento kings
1963,Cincinnati Gardens             ,sacramento kings
1964,Cincinnati Gardens             ,sacramento kings
1965,Cincinnati Gardens             ,sacramento kings
1966,Cincinnati Gardens             ,sacramento kings
1967,Cincinnati Gardens             ,sacramento kings
1968,Cincinnati Gardens             ,sacramento kings
1969,Cincinnati Gardens             ,sacramento kings
1970,Cincinnati Gardens             ,sacramento kings
1971,Cincinnati Gardens             ,sacramento kings
1972,Municipal Auditorium      ,sacramento kings
1973,Municipal Auditorium      ,sacramento kings
1974,Kemper Arena           ,sacramento kings
1975,Kemper Arena           ,sacramento kings
1976,Kemper Arena           ,sacramento kings
1977,Kemper Arena           ,sacramento kings
1978,Kemper Arena               ,sacramento kings
1979,Kemper Arena               ,sacramento kings
1980,Kemper Arena               ,sacramento kings
1981,Kemper Arena               ,sacramento kings
1982,Kemper Arena               ,sacramento kings
1983,Kemper Arena               ,sacramento kings
1984,Kemper Arena               ,sacramento kings
1985,ARCO Arena I                   ,sacramento kings
1986,ARCO Arena I                   ,sacramento kings
1987,ARCO Arena I                   ,sacramento kings
1988,ARCO Arena II                  ,sacramento kings
1989,ARCO Arena II                  ,sacramento kings
1990,ARCO Arena II                  ,sacramento kings
1991,ARCO Arena II                  ,sacramento kings
1992,ARCO Arena II                  ,sacramento kings
1993,ARCO Arena II                  ,sacramento kings
1994,ARCO Arena II                  ,sacramento kings
1995,ARCO Arena II                  ,sacramento kings
1996,ARCO Arena II                  ,sacramento kings
1997,ARCO Arena II                  ,sacramento kings
1998,ARCO Arena II                  ,sacramento kings
1999,ARCO Arena II                  ,sacramento kings
2000,ARCO Arena II                  ,sacramento kings
2001,ARCO Arena II                  ,sacramento kings
2002,ARCO Arena II                  ,sacramento kings
2003,ARCO Arena II                  ,sacramento kings
2004,ARCO Arena II                  ,sacramento kings
2005,ARCO Arena II                  ,sacramento kings
2006,ARCO Arena II                  ,sacramento kings
2007,ARCO Arena II                  ,sacramento kings
2008,ARCO Arena II                  ,sacramento kings
2009,ARCO Arena II                  ,sacramento kings
2010,ARCO Arena II                  ,sacramento kings
2011,ARCO Arena II                  ,sacramento kings
2012,ARCO Arena II                  ,sacramento kings
2013,Sleep Train Arena              ,sacramento kings
2014,Sleep Train Arena              ,sacramento kings
2015,Sleep Train Arena              ,sacramento kings
2016,Sleep Train Arena              ,sacramento kings
2017,Sleep Train Arena              ,sacramento kings
2018,Sleep Train Arena              ,sacramento kings
1967,Memorial Auditorium                ,san antoni spurs
1968,Memorial Auditorium                ,san antoni spurs
1969,Memorial Auditorium                ,san antoni spurs
