year,venue,team
2013,Time Warner Cable Arena          ,charolette hornets
2014,Time Warner Cable Arena          ,charolette hornets
2015,Time Warner Cable Arena          ,charolette hornets
2016,Time Warner Cable Arena          ,charolette hornets
2017,Time Warner Cable Arena          ,charolette hornets
2018,Time Warner Cable Arena          ,charolette hornets
1966,Chicago Amphitheater             ,chicago bulls
1967,Chicago Stadium                  ,chicago bulls
1968,Chicago Stadium                  ,chicago bulls
1969,Chicago Stadium                  ,chicago bulls
1970,Chicago Stadium                  ,chicago bulls
1971,Chicago Stadium                  ,chicago bulls
1972,Chicago Stadium                  ,chicago bulls
1973,Chicago Stadium                  ,chicago bulls
1974,Chicago Stadium                  ,chicago bulls
1975,Chicago Stadium                  ,chicago bulls
1976,Chicago Stadium                  ,chicago bulls
1977,Chicago Stadium                  ,chicago bulls
1978,Chicago Stadium                  ,chicago bulls
1979,Chicago Stadium                  ,chicago bulls
1980,Chicago Stadium                  ,chicago bulls
1981,Chicago Stadium                  ,chicago bulls
1982,Chicago Stadium                  ,chicago bulls
1983,Chicago Stadium                  ,chicago bulls
1984,Chicago Stadium                  ,chicago bulls
1985,Chicago Stadium                  ,chicago bulls
1986,Chicago Stadium                  ,chicago bulls
1987,Chicago Stadium                  ,chicago bulls
1988,Chicago Stadium                  ,chicago bulls
1989,Chicago Stadium                  ,chicago bulls
1990,Chicago Stadium                  ,chicago bulls
1991,Chicago Stadium                  ,chicago bulls
1992,Chicago Stadium                  ,chicago bulls
1993,Chicago Stadium                  ,chicago bulls
1994,United Center                    ,chicago bulls
1995,United Center                    ,chicago bulls
1996,United Center                    ,chicago bulls
1997,United Center                    ,chicago bulls
1998,United Center                    ,chicago bulls
1999,United Center                    ,chicago bulls
2000,United Center                    ,chicago bulls
2001,United Center                    ,chicago bulls
2002,United Center                    ,chicago bulls
2003,United Center                    ,chicago bulls
2004,United Center                    ,chicago bulls
2005,United Center                    ,chicago bulls
2006,United Center                    ,chicago bulls
2007,United Center                    ,chicago bulls
2008,United Center                    ,chicago bulls
2009,United Center                    ,chicago bulls
2010,United Center                    ,chicago bulls
2011,United Center                    ,chicago bulls
2012,United Center                    ,chicago bulls
2013,United Center                    ,chicago bulls
2014,United Center                    ,chicago bulls
2015,United Center                    ,chicago bulls
2016,United Center                    ,chicago bulls
2017,United Center                    ,chicago bulls
2018,United Center                    ,chicago bulls
1970,Cleveland Arena                ,cleveland cavaliers
1971,Cleveland Arena                ,cleveland cavaliers
1972,Cleveland Arena                ,cleveland cavaliers
1973,Cleveland Arena                ,cleveland cavaliers
1974,The Coliseum                    ,cleveland cavaliers
1975,The Coliseum                    ,cleveland cavaliers
1976,The Coliseum                    ,cleveland cavaliers
1977,The Coliseum                    ,cleveland cavaliers
1978,The Coliseum                    ,cleveland cavaliers
1979,The Coliseum                    ,cleveland cavaliers
1980,The Coliseum                    ,cleveland cavaliers
1981,The Coliseum                    ,cleveland cavaliers
1982,The Coliseum                    ,cleveland cavaliers
1983,The Coliseum                    ,cleveland cavaliers
1984,The Coliseum                    ,cleveland cavaliers
1985,The Coliseum                    ,cleveland cavaliers
1986,The Coliseum                    ,cleveland cavaliers
1987,The Coliseum                    ,cleveland cavaliers
1988,The Coliseum                    ,cleveland cavaliers
1989,The Coliseum                    ,cleveland cavaliers
1990,The Coliseum                    ,cleveland cavaliers
1991,The Coliseum                    ,cleveland cavaliers
1992,The Coliseum                    ,cleveland cavaliers
1993,The Coliseum                    ,cleveland cavaliers
1994,Gund Arena                     ,cleveland cavaliers
1995,Gund Arena                     ,cleveland cavaliers
1996,Gund Arena                     ,cleveland cavaliers
1997,Gund Arena                     ,cleveland cavaliers
1998,Gund Arena                     ,cleveland cavaliers
1999,Gund Arena                     ,cleveland cavaliers
2000,Gund Arena                     ,cleveland cavaliers
2001,Gund Arena                     ,cleveland cavaliers
2002,Gund Arena                     ,cleveland cavaliers
2003,Gund Arena                     ,cleveland cavaliers
2004,Gund Arena                     ,cleveland cavaliers
2005,Quicken Loans Arean            ,cleveland cavaliers
2006,Quicken Loans Arean            ,cleveland cavaliers
2007,Quicken Loans Arean            ,cleveland cavaliers
2008,Quicken Loans Arean            ,cleveland cavaliers
2009,Quicken Loans Arean            ,cleveland cavaliers
2010,Quicken Loans Arean            ,cleveland cavaliers
2011,Quicken Loans Arean            ,cleveland cavaliers
2012,Quicken Loans Arean            ,cleveland cavaliers
2013,Quicken Loans Arean            ,cleveland cavaliers
2014,Quicken Loans Arean            ,cleveland cavaliers
2015,Quicken Loans Arean            ,cleveland cavaliers
2016,Quicken Loans Arean            ,cleveland cavaliers
2017,Quicken Loans Arean            ,cleveland cavaliers
2018,Quicken Loans Arean            ,cleveland cavaliers
1980,Reunion Arena                     ,dallas mavericks
1981,Reunion Arena                     ,dallas mavericks
1982,Reunion Arena                     ,dallas mavericks
1983,Reunion Arena                     ,dallas mavericks
1984,Reunion Arena                     ,dallas mavericks
1985,Reunion Arena                     ,dallas mavericks
1986,Reunion Arena                     ,dallas mavericks
1987,Reunion Arena                     ,dallas mavericks
1988,Reunion Arena                     ,dallas mavericks
1989,Reunion Arena                     ,dallas mavericks
1990,Reunion Arena                     ,dallas mavericks
1991,Reunion Arena                     ,dallas mavericks
1992,Reunion Arena                     ,dallas mavericks
1993,Reunion Arena                     ,dallas mavericks
1994,Reunion Arena                     ,dallas mavericks
1995,Reunion Arena                     ,dallas mavericks
1996,Reunion Arena                     ,dallas mavericks
1997,Reunion Arena                     ,dallas mavericks
1998,Reunion Arena                     ,dallas mavericks
