,year,venue,team,abv
106,1982,Boston Garden                     ,Boston Celtics,BOS
107,1983,Boston Garden                     ,Boston Celtics,BOS
108,1984,Boston Garden                     ,Boston Celtics,BOS
109,1985,Boston Garden                     ,Boston Celtics,BOS
110,1986,Boston Garden                     ,Boston Celtics,BOS
111,1987,Boston Garden                     ,Boston Celtics,BOS
112,1988,Boston Garden                     ,Boston Celtics,BOS
113,1989,Boston Garden                     ,Boston Celtics,BOS
114,1990,Boston Garden                     ,Boston Celtics,BOS
115,1991,Boston Garden                     ,Boston Celtics,BOS
116,1992,Boston Garden                     ,Boston Celtics,BOS
117,1993,Boston Garden                     ,Boston Celtics,BOS
118,1994,Boston Garden                     ,Boston Celtics,BOS
119,1995,Fleet Center                      ,Boston Celtics,BOS
120,1996,Fleet Center                      ,Boston Celtics,BOS
121,1997,Fleet Center                      ,Boston Celtics,BOS
122,1998,Fleet Center                      ,Boston Celtics,BOS
123,1999,Fleet Center                      ,Boston Celtics,BOS
124,2000,Fleet Center                      ,Boston Celtics,BOS
125,2001,Fleet Center                      ,Boston Celtics,BOS
126,2002,Fleet Center                      ,Boston Celtics,BOS
127,2003,Fleet Center                      ,Boston Celtics,BOS
128,2004,Fleet Center                      ,Boston Celtics,BOS
129,2005,TD Garden                         ,Boston Celtics,BOS
130,2006,TD Garden                         ,Boston Celtics,BOS
131,2007,TD Garden                         ,Boston Celtics,BOS
132,2008,TD Garden                         ,Boston Celtics,BOS
133,2009,TD Garden                         ,Boston Celtics,BOS
134,2010,TD Garden                         ,Boston Celtics,BOS
135,2011,TD Garden                         ,Boston Celtics,BOS
136,2012,TD Garden                         ,Boston Celtics,BOS
137,2013,TD Garden                         ,Boston Celtics,BOS
138,2014,TD Garden                         ,Boston Celtics,BOS
139,2015,TD Garden                         ,Boston Celtics,BOS
140,2016,TD Garden                         ,Boston Celtics,BOS
141,2017,TD Garden                         ,Boston Celtics,BOS
142,2018,TD Garden                         ,Boston Celtics,BOS
143,2004,Time Warner Cable Arena          ,Charolette Hornets,CHA
144,2005,Time Warner Cable Arena          ,Charolette Hornets,CHA
145,2006,Time Warner Cable Arena          ,Charolette Hornets,CHA
146,2007,Time Warner Cable Arena          ,Charolette Hornets,CHA
147,2008,Time Warner Cable Arena          ,Charolette Hornets,CHA
148,2009,Time Warner Cable Arena          ,Charolette Hornets,CHA
149,2010,Time Warner Cable Arena          ,Charolette Hornets,CHA
150,2011,Time Warner Cable Arena          ,Charolette Hornets,CHA
151,2012,Time Warner Cable Arena          ,Charolette Hornets,CHA
152,2013,Time Warner Cable Arena          ,Charolette Hornets,CHA
153,2014,Time Warner Cable Arena          ,Charolette Hornets,CHA
154,2015,Time Warner Cable Arena          ,Charolette Hornets,CHA
155,2016,Time Warner Cable Arena          ,Charolette Hornets,CHA
156,2017,Time Warner Cable Arena          ,Charolette Hornets,CHA
157,2018,Time Warner Cable Arena          ,Charolette Hornets,CHA
158,1966,Chicago Amphitheater             ,Chicago Bulls,CHI
159,1967,Chicago Stadium                  ,Chicago Bulls,CHI
160,1968,Chicago Stadium                  ,Chicago Bulls,CHI
161,1969,Chicago Stadium                  ,Chicago Bulls,CHI
162,1970,Chicago Stadium                  ,Chicago Bulls,CHI
163,1971,Chicago Stadium                  ,Chicago Bulls,CHI
164,1972,Chicago Stadium                  ,Chicago Bulls,CHI
165,1973,Chicago Stadium                  ,Chicago Bulls,CHI
166,1974,Chicago Stadium                  ,Chicago Bulls,CHI
167,1975,Chicago Stadium                  ,Chicago Bulls,CHI
168,1976,Chicago Stadium                  ,Chicago Bulls,CHI
169,1977,Chicago Stadium                  ,Chicago Bulls,CHI
